order_id;customer_id;order_status_id;valor;date_added
2422;66;4;316,95;15/10/2021 12:33
2423;66;4;470,97;15/10/2021 12:36
2424;66;4;460,86;15/10/2021 12:36
2425;66;4;502,34;15/10/2021 12:37
2426;66;4;658,09;15/10/2021 12:37
2427;70;4;289,57;15/10/2021 12:56
2428;85;3;1519,81;15/10/2021 13:14
2429;103;1;3658,57;15/10/2021 13:22
2430;66;2;754,54;15/10/2021 13:24
2431;;2;217,61;15/10/2021 13:42
2432;370;1;271,37;15/10/2021 14:23
2433;372;1;271,3;15/10/2021 14:25
2434;68;4;359,53;15/10/2021 15:18
2435;68;1;407,01;15/10/2021 15:19
2436;151;4;3698,17;15/10/2021 15:24
2437;182;3;1561,07;15/10/2021 15:29
2438;;1;719,62;15/10/2021 15:43
2439;375;4;508,58;15/10/2021 16:14
2440;375;4;464,76;15/10/2021 16:14
2441;172;2;3698,89;15/10/2021 16:37
2442;377;4;250,26;15/10/2021 19:08
2443;133;4;293,27;15/10/2021 19:26
2444;133;4;323,93;15/10/2021 19:27
2445;133;4;330,19;15/10/2021 19:27
2446;380;4;301,46;15/10/2021 20:37
2447;133;2;299,46;15/10/2021 20:42
2448;380;2;374,12;15/10/2021 20:44
2449;354;2;2650,91;15/10/2021 20:46
2450;151;1;235,59;15/10/2021 22:15
2451;287;4;489,92;16/10/2021 08:56
2452;287;1;229,55;16/10/2021 08:57
2453;366;3;705;16/10/2021 10:07
2454;;1;492,42;16/10/2021 10:35
2455;122;1;14519,75;16/10/2021 10:52
2456;;4;714,28;16/10/2021 10:56
2457;384;2;2283,56;16/10/2021 13:55
2458;386;4;282,88;16/10/2021 15:22
2459;386;4;324,34;16/10/2021 15:22
2460;8;4;3276,28;16/10/2021 15:30
2461;8;3;3294,54;16/10/2021 15:50
2462;388;1;915,58;16/10/2021 15:58
2463;63;3;668,56;16/10/2021 16:10
2464;83;3;2519,87;16/10/2021 16:19
2465;168;4;518;16/10/2021 19:44
2466;1;4;9273,98;16/10/2021 19:44
2467;168;4;259,68;16/10/2021 19:45
2468;144;1;320,62;16/10/2021 19:45
2469;390;4;271,56;16/10/2021 21:07
2470;132;4;633,45;17/10/2021 08:38
2471;111;1;673,8;17/10/2021 14:01
2472;90;1;539,24;17/10/2021 17:32
2473;143;4;486,34;17/10/2021 17:47
2474;143;4;517,84;17/10/2021 17:47
2475;79;4;3708,55;17/10/2021 20:04
2476;393;1;3532,43;17/10/2021 20:21
2477;143;4;525,12;18/10/2021 09:38
2478;143;2;456,1;18/10/2021 09:58
2479;213;1;274,01;18/10/2021 10:09
2480;;4;666,81;18/10/2021 10:30
2481;;3;1481,73;18/10/2021 10:56
2482;27;4;704,85;18/10/2021 11:21
2483;132;2;630,45;18/10/2021 13:58
2484;42;1;1445,65;18/10/2021 13:59
2485;106;1;477,46;18/10/2021 14:03
2486;397;2;285,99;18/10/2021 14:12
2487;332;3;671,82;18/10/2021 15:04
2488;;2;836,22;18/10/2021 15:31
2489;;1;739,62;18/10/2021 16:33
2490;70;3;304,2;18/10/2021 16:36
2491;;1;275,84;18/10/2021 16:41
2492;145;1;245,11;18/10/2021 16:47
2493;28;4;1579,9;18/10/2021 17:47
2494;28;4;1479,97;18/10/2021 17:49
2495;28;4;1491,38;18/10/2021 17:49
2496;401;4;668,04;18/10/2021 20:30
2497;403;3;294,65;18/10/2021 22:13
2498;196;3;389,11;19/10/2021 08:51
2499;16;3;262,81;19/10/2021 09:05
2500;204;2;710,26;19/10/2021 09:21
2501;47;3;280,11;19/10/2021 10:18
2502;221;4;481,75;19/10/2021 10:29
2503;405;4;228,77;19/10/2021 10:50
2504;407;3;482,38;19/10/2021 13:04
2505;;2;969,04;19/10/2021 13:35
2506;164;2;301,55;19/10/2021 13:42
2507;410;4;739,87;19/10/2021 13:54
2508;108;2;723,31;19/10/2021 14:00
2509;120;1;266,74;19/10/2021 14:37
2510;412;1;651,05;19/10/2021 14:46
2511;;1;963,5;19/10/2021 15:16
2512;;4;257,43;19/10/2021 16:12
2513;;2;300,31;19/10/2021 16:18
2514;25;1;874,53;19/10/2021 16:45
2515;418;3;243,17;19/10/2021 16:57
2516;131;4;672,07;20/10/2021 08:57
2517;73;4;273,27;20/10/2021 08:58
2518;420;3;673,01;20/10/2021 09:33
2519;2;2;748,83;20/10/2021 10:11
2520;13;4;2025,42;20/10/2021 11:03
2521;13;4;1799,99;20/10/2021 11:04
2522;117;2;491,25;20/10/2021 11:20
2523;13;4;3568,76;20/10/2021 11:29
2524;13;2;1710,92;20/10/2021 11:31
2525;153;1;471,88;20/10/2021 13:42
2526;;1;746,11;20/10/2021 14:27
2527;426;4;3331,72;20/10/2021 16:11
2528;89;1;878,67;20/10/2021 16:13
2529;146;4;439,61;20/10/2021 16:27
2530;431;4;252,47;20/10/2021 17:02
2531;9;1;315,02;20/10/2021 18:18
2532;435;2;671,21;20/10/2021 21:48
2533;437;3;687,98;20/10/2021 23:28
2534;439;4;739,16;21/10/2021 01:44
2535;439;1;706,76;21/10/2021 02:09
2536;441;1;694,4;21/10/2021 08:23
2537;443;4;728,87;21/10/2021 09:05
2538;446;2;661,42;21/10/2021 11:04
2539;136;3;209,51;21/10/2021 11:09
2540;81;1;236,29;21/10/2021 11:25
2541;119;3;851,57;21/10/2021 13:16
2542;448;4;312,83;21/10/2021 14:38
2543;65;2;3487,87;21/10/2021 14:47
2544;98;4;2267,29;21/10/2021 14:52
2545;43;2;309,04;21/10/2021 14:56
2546;428;1;258,33;21/10/2021 15:24
2547;450;4;748,75;21/10/2021 15:34
2548;148;3;706,64;21/10/2021 15:43
2549;98;1;2326,91;21/10/2021 15:50
2550;452;4;2537,63;21/10/2021 20:48
2551;452;4;2381,1;21/10/2021 20:54
2552;6;3;1592,44;21/10/2021 21:14
2553;115;3;700,97;22/10/2021 07:58
2554;375;1;444,98;22/10/2021 08:03
2555;138;2;232,83;22/10/2021 08:22
2556;220;2;472,22;22/10/2021 09:48
2557;243;3;265,2;22/10/2021 09:55
2558;157;4;1541,77;22/10/2021 09:57
2559;454;2;4520,64;22/10/2021 10:10
2560;456;3;682,11;22/10/2021 11:23
2561;458;2;174,06;22/10/2021 12:24
2562;462;1;295,23;22/10/2021 13:51
2563;464;4;411,93;22/10/2021 14:04
2564;464;4;359,02;22/10/2021 14:05
2565;466;1;241,35;22/10/2021 14:37
2566;105;1;238,21;22/10/2021 15:14
2567;72;1;1633,65;22/10/2021 15:32
2568;471;3;310,99;23/10/2021 01:00
2569;3;4;1505,82;23/10/2021 02:41
2570;56;3;165,23;23/10/2021 09:36
2571;146;2;331,53;23/10/2021 11:37
2572;347;2;426,28;23/10/2021 11:45
2573;475;2;318,84;23/10/2021 12:34
2574;479;4;693,89;23/10/2021 14:17
2575;482;4;307,08;23/10/2021 14:27
2576;139;1;253,33;23/10/2021 20:46
2577;318;2;3202,51;24/10/2021 09:31
2578;101;3;341,23;24/10/2021 18:10
2579;494;4;259,73;24/10/2021 20:23
2580;123;4;373,68;24/10/2021 23:45
2581;123;4;757,14;24/10/2021 23:54
2582;123;2;324,56;24/10/2021 23:57
2583;492;1;221,02;25/10/2021 09:19
2584;498;4;267,54;25/10/2021 09:35
2585;60;4;437,5;25/10/2021 09:39
2586;60;4;470,52;25/10/2021 09:49
2587;60;4;246,13;25/10/2021 09:52
2588;75;1;313,43;25/10/2021 10:25
2589;501;2;3477,37;25/10/2021 11:47
2590;209;2;739,52;25/10/2021 13:35
2591;192;3;292,35;25/10/2021 13:43
2592;110;4;268,26;25/10/2021 13:45
2593;212;2;2688,87;25/10/2021 13:53
2594;503;2;693,23;25/10/2021 14:35
2595;38;4;3377,51;25/10/2021 15:26
2596;177;1;708,89;25/10/2021 15:38
2597;166;2;225,71;25/10/2021 15:46
2598;126;2;284,63;25/10/2021 16:02
2599;165;4;656,84;25/10/2021 16:07
2600;165;1;744,63;25/10/2021 16:11
2601;505;3;2093,47;25/10/2021 16:23
2602;112;1;508,52;25/10/2021 20:30
2603;216;4;738,41;25/10/2021 20:51
2604;60;1;518,48;25/10/2021 21:28
2605;509;4;296,94;25/10/2021 22:59
2606;512;2;274,1;26/10/2021 00:53
2607;514;1;221,06;26/10/2021 08:22
2608;57;2;498,06;26/10/2021 08:27
2609;516;1;268,1;26/10/2021 09:04
2610;518;3;687,8;26/10/2021 09:09
2611;507;2;272,54;26/10/2021 09:20
2612;520;4;714,75;26/10/2021 10:48
2613;522;4;1375,01;26/10/2021 13:28
2614;46;4;1093,43;26/10/2021 14:15
2615;188;3;710,26;26/10/2021 14:40
2616;52;1;1569,21;26/10/2021 14:46
2617;522;4;714,5;26/10/2021 15:18
2618;107;3;497,94;26/10/2021 15:55
2619;118;3;438,75;26/10/2021 16:17
2620;524;3;3538,01;26/10/2021 16:27
2621;109;4;1415,27;26/10/2021 17:28
2622;109;4;305,6;26/10/2021 17:29
2623;109;4;243,43;26/10/2021 17:30
2624;109;1;232,48;26/10/2021 17:30
2625;169;2;720,34;26/10/2021 17:51
2626;526;3;709,29;26/10/2021 21:45
2627;167;4;264,5;27/10/2021 06:12
2628;39;4;3946,24;27/10/2021 07:54
2629;39;4;3534,09;27/10/2021 08:05
2630;39;4;6938,34;27/10/2021 08:06
2631;39;1;3471,53;27/10/2021 08:07
2632;135;4;259,86;27/10/2021 08:41
2633;531;3;669,87;27/10/2021 08:48
2634;533;2;274,09;27/10/2021 09:08
2635;528;1;434,34;27/10/2021 09:18
2636;468;2;303,84;27/10/2021 10:10
2637;535;4;739,66;27/10/2021 13:13
2638;460;2;438,54;27/10/2021 13:19
2639;84;1;1561,7;27/10/2021 13:44
2640;537;4;666,17;27/10/2021 14:32
2641;10;4;270,6;27/10/2021 15:26
2642;539;2;732,97;27/10/2021 15:34
2643;160;4;279,41;27/10/2021 16:21
2644;541;1;633,25;27/10/2021 16:26
2645;171;1;462,62;27/10/2021 19:06
2646;54;4;279,01;27/10/2021 20:14
2647;201;4;620,69;27/10/2021 21:22
2648;201;2;499,94;27/10/2021 21:23
2649;543;4;322,71;27/10/2021 23:31
2650;92;1;284,54;28/10/2021 04:39
2651;32;1;2885,58;28/10/2021 08:23
2652;546;3;672,11;28/10/2021 08:28
2653;548;2;424,96;28/10/2021 08:47
2654;187;1;271,35;28/10/2021 09:25
2655;217;1;730,32;28/10/2021 09:50
2656;268;2;692,66;28/10/2021 10:11
2657;222;2;656,1;28/10/2021 11:03
2658;553;2;722,42;28/10/2021 11:38
2659;38;4;3286,74;28/10/2021 11:58
2660;555;3;545,29;28/10/2021 13:18
2661;557;1;3687,79;28/10/2021 13:57
2662;559;2;725,19;28/10/2021 14:01
2663;562;1;659,82;28/10/2021 14:12
2664;76;3;3303,67;28/10/2021 14:31
2665;37;1;3567,02;28/10/2021 14:59
2666;15;3;1517,64;28/10/2021 15:25
2667;564;3;250,05;28/10/2021 15:33
2668;551;2;690,66;28/10/2021 18:19
2669;130;1;1421,2;28/10/2021 19:21
2670;110;3;276,99;29/10/2021 08:38
2671;20;4;488,98;29/10/2021 09:46
2672;82;1;254,43;29/10/2021 10:05
2673;174;3;280,43;29/10/2021 10:28
2674;570;1;1564,11;29/10/2021 10:55
2675;20;2;438,9;29/10/2021 10:58
2676;572;4;239,65;29/10/2021 13:59
2677;574;1;702,23;29/10/2021 14:04
2678;576;3;264,58;29/10/2021 14:54
2679;127;4;3471,44;29/10/2021 14:57
2680;29;3;319,52;29/10/2021 15:09
2681;578;3;723,03;29/10/2021 15:53
2682;580;3;310,34;29/10/2021 16:31
2683;154;1;260,39;29/10/2021 21:03
2684;582;4;248,23;30/10/2021 06:14
2685;582;4;210,56;30/10/2021 06:23
2686;5;3;213,14;30/10/2021 09:59
2687;586;4;244,88;30/10/2021 10:59
2688;586;4;461,76;30/10/2021 11:00
2689;586;4;453,14;30/10/2021 11:04
2690;586;4;243,41;30/10/2021 11:11
2691;586;4;309,51;30/10/2021 11:12
2692;586;4;296,47;30/10/2021 11:13
2693;586;3;230,32;30/10/2021 11:14
2694;588;4;508,06;30/10/2021 14:31
2695;590;1;740,02;30/10/2021 14:56
2696;592;1;1846,99;30/10/2021 15:11
2697;275;3;459,56;30/10/2021 15:36
2698;167;4;444,43;30/10/2021 16:28
2699;594;4;252,49;30/10/2021 19:21
2700;91;3;1546,8;30/10/2021 20:11
2701;599;4;322,62;31/10/2021 10:42
2702;601;4;691,35;31/10/2021 11:38
2703;606;3;3107,01;31/10/2021 15:13
2704;599;4;292;31/10/2021 16:48
2705;608;1;478,21;31/10/2021 17:16
2706;599;4;264,99;31/10/2021 17:29
2707;193;4;197,7;31/10/2021 21:34
2708;193;3;228,83;31/10/2021 21:34
